address,description,price,building_total_floors,num_bathrooms,lat,num_rooms,area,condition,floor,lng,price_sqm,building_type,ceiling_height
"Yerevan, Center, Baghramyan Ave 1 blind end","3 bedrooms apartment for sale in Baghramyan Ave 1 blind end, Center, Yerevan, 94790","120,000",9,1,40.18895350,3,95 sq. m.,good,1,44.51313930,"1,263",other,2.8 m
"Yerevan, Center, D. Demirchyan St","3 bedrooms apartment for sale in D. Demirchyan St, Center, Yerevan, 97236","125,000",6,1,40.18877170,3,100 sq. m.,good,5,44.50775690,"1,250",stone,2.8 m
"Yerevan, Davtashen, Davtashen 4 district","4 bedrooms apartment for sale in new construction in Davtashen 4 district, Davtashen, Yerevan, 80741","75,000",11,1,40.22548810,4,85 sq. m.,newly repaired,8,44.49465770,882,monolit,3 m
"Yerevan, Arabkir, Adonts St","2 bedrooms apartment for sale in new construction in Adonts St, Arabkir, Yerevan, 97014","70,000",8,1,40.21069340,2,42 sq. m.,newly repaired,8,44.52777660,"1,667",other,2.8 m
"Yerevan, Center, Buzand St","3 bedrooms apartment for sale in Buzand St, Center, Yerevan, 69430","170,000",9,2,40.17597230,3,80 sq. m.,newly repaired,3,44.51742860,"2,125",monolit,3 m
"Yerevan, Davtashen, Davtashen 1 district","3 bedrooms apartment for sale in Davtashen 1 district, Davtashen, Yerevan, 94881","80,000",9,1,40.21593520,3,100 sq. m.,good,6,44.48020140,800,panel,2.8 m
"Yerevan, Arabkir, Mamikoniants St","2 bedrooms apartment for sale in new construction in Mamikoniants St, Arabkir, Yerevan, 89363","89,000",18,1,40.20931700,2,69 sq. m.,newly repaired,5,44.51725870,"1,290",monolit,3 m
"Yerevan, Arabkir, Azatutyan Ave","2 bedrooms apartment for sale in Azatutyan Ave, Arabkir, Yerevan, 94612","100,000",5,1,40.20348710,2,66 sq. m.,good,3,44.52399100,"1,515",stone,3.2 m
"Yerevan, Davtashen, Mikoyan St","3 bedrooms apartment for sale in new construction in Mikoyan St, Davtashen, Yerevan, 86516","99,000",11,1,40.18333300,3,72 sq. m.,newly repaired,3,44.51666700,"1,375",monolit,2.8 m
"Yerevan, Arabkir, Hambardzumyan St","3 bedrooms apartment for sale in Hambardzumyan St, Arabkir, Yerevan, 79254","85,000",9,1,40.19702210,3,90 sq. m.,good,4,44.49929960,944,panel,2.8 m
"Yerevan, Center, Paronyan St","3 bedrooms apartment for sale in Paronyan St, Center, Yerevan, 87585","145,000",4,1,40.17957960,3,68 sq. m.,good,1,44.50015300,"2,132",stone,2.8 m
"Yerevan, Center, Vratsyan St","4 bedrooms apartment for sale in Vratsyan St, Center, Yerevan, 94031","150,000",5,1,40.17088170,4,130 sq. m.,newly repaired,2,44.52001960,"1,154",stone,2.8 m
"Yerevan, Center, Mashtots Ave","2 bedrooms apartment for sale in Mashtots Ave, Center, Yerevan, 95559","130,000",5,1,40.18309770,2,61 sq. m.,newly repaired,5,44.51041700,"2,131",other,2.8 m
"Yerevan, Center, Mashtots Ave","2 bedrooms apartment for sale in new construction in Mashtots Ave, Center, Yerevan, 92980","145,000",13,1,40.18309770,2,57 sq. m.,newly repaired,3,44.51041700,"2,544",other,3 m
"Yerevan, Davtashen, Davtashen 2 district","3 bedrooms apartment for sale in new construction in Davtashen 2 district, Davtashen, Yerevan, 78376","84,000",11,1,40.22548810,3,83 sq. m.,newly repaired,8,44.49465770,"1,012",monolit,3 m
